trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-115.79832867022084,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,1,-17.936243336418986,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",30,0,-32.835479103491956,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-64.05702828217164,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-27.80470605384054,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,0,-75.51024420400056,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-61.35370538286449,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,7,-17.25961124005008,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-55.60235333000841,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,7,-51.00429517358496,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-28.184314021793337,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-127.54471789070148,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,1,-58.90083707037474,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,13,-53.93126905304957,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-21.140276240581798,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
